@relation compact_wind_onshore

@attribute date numeric
@attribute hour numeric
@attribute dayiness numeric
@attribute mean_TU_0 numeric
@attribute mean_TU_1 numeric
@attribute mean_N_0 numeric
@attribute mean_RR_0 numeric
@attribute mean_RR_1 numeric
@attribute mean_SD_0 numeric
@attribute mean_VV_0 numeric
@attribute mean_FF_0 numeric
@attribute mean_FF_1 numeric
@attribute wind_onshore numeric

@data
20220103,10,0.87,8.349682,81.305732,7.096154,0.069231,0.49359,7.388535,37079.935897,6.551923,240.512821,35854
20220103,11,0.97,8.610191,80.248408,7,0.133974,0.461538,7.312102,36710.833333,6.739744,241.474359,36548.25
20220103,12,1,8.838217,78.55414,7.012821,0.062821,0.532051,7.840764,38425.128205,6.932692,243.076923,36404.5
20220103,13,0.97,8.847134,78.229299,7.166667,0.1,0.535032,5.910828,38736.538462,6.848077,241.987179,35712.5
20220103,14,0.87,8.696178,78.229299,6.660256,0.151592,0.56051,6.707006,39062.564103,6.626282,242.115385,34592.5
20220103,15,0.71,8.380892,79.318471,6.49359,0.169427,0.535032,2.566879,39704.74359,6.240385,237.564103,33013.25
20220103,16,0.5,7.997452,80.910828,6.49359,0.258974,0.49359,0,39184.871795,5.974359,235.897436,32600.25
20220103,17,0.26,7.735669,82.044586,6.557692,0.242949,0.512821,0,39011.089744,5.696154,233.589744,32123.25
20220103,18,0,7.604459,82.732484,6.474359,0.244231,0.455128,0,39328.910256,5.619872,229.230769,32238.75
20220103,19,-0.26,7.506369,83.382166,6.647436,0.185987,0.43949,0,39486.666667,5.489744,226.858974,30802
20220103,20,-0.5,7.389172,84.350318,6.692308,0.217197,0.464968,0,38584.74359,5.371795,224.679487,28823.5
20220103,21,-0.71,7.321019,85.203822,6.737179,0.256051,0.490446,0,37750.128205,5.159615,223.333333,27238.75
20220103,22,-0.87,7.222293,86.286624,6.807692,0.278981,0.496815,0,36769.679487,4.960897,223.333333,24810.75
20220103,23,-0.97,7.138854,87.350318,7.089744,0.323567,0.573248,0,35596.346154,4.808974,219.807692,22916.25
20220104,0,-1,7.101911,87.789809,7.115385,0.269427,0.605096,0,34063.974359,4.679487,217.628205,21324.25
20220104,1,-0.97,7.011465,88.961783,7.224359,0.371975,0.624204,0,32900.128205,4.569872,216.025641,20179.25
20220104,2,-0.87,7.005732,89.152866,7.397436,0.411465,0.643312,0,31317.5,4.487179,211.666667,18881.75
20220104,3,-0.71,6.942675,89.853503,7.5,0.484713,0.66242,0,30518.846154,4.33141,211.410256,17657.25
20220104,4,-0.5,6.917834,90.407643,7.634615,0.557325,0.687898,0,27657.884615,4.220513,212.628205,16200
20220104,5,-0.26,6.790446,91.828025,7.666667,0.661783,0.726115,0,25597.051282,4.105128,210,15143
20220104,6,-0,6.781529,92.146497,7.525641,0.764968,0.726115,0,24205.705128,4.026282,209.358974,14113.75
20220104,7,0.26,6.731847,92.56051,7.538462,0.809554,0.757962,0,23080.25641,4.119231,210.961538,13247
20220104,8,0.5,6.75414,92.815287,7.660256,0.757962,0.764331,0,24004.551282,4.166667,211.794872,12523
20220104,9,0.71,6.87707,92.617834,7.544872,0.736538,0.762821,0,23596.025641,4.163462,209.679487,11822
20220104,10,0.87,7.11465,91.363057,7.519231,0.749032,0.8,0.006369,25644.551282,4.303205,221.282051,11724.75
20220104,11,0.97,7.216561,90.019108,7.660256,0.701923,0.846154,0.318471,25769.74359,4.516667,229.423077,12015.75
20220104,12,1,7.314013,88.929936,7.519231,0.65641,0.878205,0.847134,25844.551282,4.562179,244.294872,12009.75
20220104,13,0.97,7.26242,88.146497,7.532051,0.635669,0.859873,1.840764,28398.525641,4.771154,254.487179,12329.25
20220104,14,0.87,6.966879,88.178344,7.480769,0.569427,0.783439,0.789809,29227.435897,4.898718,255.192308,13053.75
20220104,15,0.71,6.470064,88.210191,7.211538,0.490446,0.789809,0.579618,34136.538462,4.886538,263.974359,13725.75
20220104,16,0.5,5.916561,89.025478,7.032051,0.328662,0.764331,0.038217,35019.423077,4.778205,260.576923,14590.75
20220104,17,0.26,5.429299,89.541401,7.134615,0.282166,0.719745,0,37158.333333,4.8,262.307692,15572.75
20220104,18,0,4.994268,89.993631,7.102564,0.279618,0.675159,0,37608.589744,4.473718,259.038462,15553
20220104,19,-0.26,4.608917,90.076433,6.942308,0.267516,0.624204,0,39254.102564,4.252903,258.83871,15897
20220104,20,-0.5,4.28535,90.031847,6.660256,0.259873,0.585987,0,36945.192308,4.189677,254.322581,15805.75
20220104,21,-0.71,3.894904,90.859873,6.50641,0.306369,0.573248,0,35357.564103,4.04,253.677419,15502
20220104,22,-0.87,3.721656,90.859873,6.532051,0.247134,0.585987,0,33522.628205,3.98129,246.967742,15230.5
20220104,23,-0.97,3.522293,90.828025,6.634615,0.314013,0.643312,0,31347.884615,4.087742,244.709677,15360.75
20220105,0,-1,3.270064,90.866242,6.564103,0.306369,0.656051,0,31778.525641,4.256129,245.290323,16312
