@relation compact_wind_offshore

@attribute date numeric
@attribute hour numeric
@attribute dayiness numeric
@attribute mean_TU_0 numeric
@attribute mean_TU_1 numeric
@attribute mean_N_0 numeric
@attribute mean_RR_0 numeric
@attribute mean_RR_1 numeric
@attribute mean_SD_0 numeric
@attribute mean_VV_0 numeric
@attribute mean_FF_0 numeric
@attribute mean_FF_1 numeric
@attribute wind_offshore numeric

@data
20220720,21,-0.71,23.307006,62.031847,5.261745,0.347059,0.287582,0,36081.059603,3.51465,210.509554,3164.5
20220720,22,-0.87,22.224204,66.66879,5.201342,0.439216,0.333333,0,34779.933775,3.529299,215.605096,2446.25
20220720,23,-0.97,21.401911,70.082803,5.483221,0.618301,0.352941,0,34596.688742,3.46242,222.547771,2297
20220721,0,-1,20.728662,72.808917,5.731544,0.232026,0.30719,0,34568.874172,3.176433,220.063694,2234.75
20220721,1,-0.97,20.126752,75.433121,5.85906,0.338312,0.285714,0,32366.225166,3.159873,217.643312,2087.5
20220721,2,-0.87,19.614013,78.191083,5.986577,0.299351,0.305195,0,29792.913907,3.087261,226.878981,1888
20220721,3,-0.71,19.223567,80.101911,6.208054,0.228105,0.300654,0,28482.847682,3.049045,222.165605,2244.75
20220721,4,-0.5,18.994904,81.044586,6.644295,0.129412,0.326797,0.033333,27831.258278,3.079618,230.254777,2294.25
20220721,5,-0.26,19.208917,81.044586,6.364865,0.143137,0.326797,12.633333,27792.847682,2.974522,235.350318,1686.5
20220721,6,-0,19.848408,78.993631,6.080537,0.171242,0.261438,20.686667,29214.370861,3.03758,238.917197,1167
20220721,7,0.26,20.598089,75.872611,6.308725,0.052288,0.20915,23.08,31432.2,3.348408,244.012739,819
20220721,8,0.5,21.33121,72.458599,6.214765,0.081169,0.227273,24.166667,36189.4,3.60828,245.605096,698
20220721,9,0.71,22.096815,68.66242,6.167785,0.042857,0.227273,25.013245,39623.046358,3.79172,242.420382,658.25
20220721,10,0.87,22.664968,65.700637,6.416107,0.037255,0.235294,24.701987,41470.794702,4.047134,241.401274,597.25
20220721,11,0.97,23.215287,63.070064,6.12,0.111111,0.346405,25.177632,41847.284768,4.198726,240.318471,1197.5
20220721,12,1,23.544586,61.242038,6.46,0.215686,0.287582,23.875,43738.07947,4.340764,239.363057,1271.25
20220721,13,0.97,23.748408,60.031847,6.44,0.228571,0.331169,22.980263,44379.337748,4.287898,240.636943,1490.25
20220721,14,0.87,23.735669,59.904459,6.446667,0.282468,0.331169,22.447368,44343.311258,4.184713,244.840764,1871.75
20220721,15,0.71,23.661783,60.401274,6.046667,0.179221,0.298701,22.940789,46323.97351,4.046497,241.592357,2242.75
20220721,16,0.5,23.304459,61.216561,6.093333,0.241558,0.311688,21.848684,46461.390728,4.03121,244.77707,2911.25
20220721,17,0.26,22.855414,62.840764,5.426667,0.120915,0.313725,23.401316,46683.509934,3.749682,245.286624,3292.5
20220721,18,0,22.119108,65.738854,5.16,0.096078,0.287582,24.651316,45697.682119,3.468153,247.707006,3090
20220721,19,-0.26,20.899363,71.191083,4.6,0.118182,0.253247,17.631579,42342.251656,3.144586,249.426752,2943.75
20220721,20,-0.5,19.538854,77.025478,4.626667,0.061688,0.24026,0.085526,38425.430464,2.826752,245.987261,3117.25
20220721,21,-0.71,18.591083,80.611465,4.2,0.067532,0.214286,0,36908.807947,2.667516,242.547771,3311.25
20220721,22,-0.87,17.940127,83.22293,3.913333,0.114935,0.227273,0,34306.423841,2.598726,234.522293,2944.75
20220721,23,-0.97,17.375159,84.949045,4.126667,0.049351,0.188312,0,33220.993377,2.603822,233.757962,2906
20220722,0,-1,16.956688,86.394904,4.313333,0.020779,0.220779,0,31544.900662,2.633121,231.464968,2810.5
20220722,1,-0.97,16.506369,87.490446,4.226667,0.033117,0.207792,0,29847.019868,2.598089,235.031847,3133.75
20220722,2,-0.87,16.140127,88.528662,4.206667,0.033766,0.214286,0,28385.099338,2.581529,229.490446,3169.5
20220722,3,-0.71,15.800637,89.152866,4.513333,0.037662,0.194805,0,27568.807947,2.594904,226.433121,3244.25
20220722,4,-0.5,15.586624,89.458599,4.42,0.018182,0.181818,0.071895,25683.245033,2.600637,226.369427,3226.5
20220722,5,-0.26,16.098726,87.197452,4.42,0.012987,0.181818,15.816993,28573.443709,2.628025,227.961783,2889.25
20220722,6,-0,17.24586,82.490446,4.553333,0.024026,0.12987,26.267974,31197.086093,2.701274,220.063694,2618.25
20220722,7,0.26,18.32293,77.159236,4.426667,0.009091,0.123377,28.281046,36554.569536,2.928025,211.273885,2617
20220722,8,0.5,19.398726,71.656051,4.193333,0.006494,0.142857,29.869281,41537.086093,3.102548,213.43949,2480.5
